"","gene_id","Teso_resistant","teso_susceptible","Teso_resistant.1","teso_susceptible.1"
"10950","AFUN019143",0,1,0,1
"10951","AFUN019144",23,9,23,9
"10952","AFUN019145",84,36,84,36
"10953","AFUN019146",1963,586,1963,586
"10954","AFUN019147",0,1,0,1
"10955","AFUN019148",20,23,20,23
"10956","AFUN019149",17,54,17,54
"10957","AFUN019150",975,554,975,554
"10958","AFUN019151",108,13,108,13
"10959","AFUN019152",0,0,0,0
"10960","AFUN019153",2,21,2,21
"10961","AFUN019154",341,64,341,64
"10962","AFUN019155",7,8,7,8
"10963","AFUN019156",169,1,169,1
"10964","AFUN019157",0,2,0,2
"10965","AFUN019158",41,22,41,22
"10966","AFUN019159",8,5,8,5
"10967","AFUN019160",0,0,0,0
"10968","AFUN019161",68,29,68,29
"10969","AFUN019162",0,5,0,5
"10970","AFUN019163",0,0,0,0
"10971","AFUN019164",0,2,0,2
"10972","AFUN019165",51,27,51,27
"10973","AFUN019166",1312,280,1312,280
"10974","AFUN019167",0,0,0,0
"10975","AFUN019168",29,8,29,8
"10976","AFUN019169",8,23,8,23
"10977","AFUN019170",21,52,21,52
"10978","AFUN019171",9,15,9,15
"10979","AFUN019172",380,171,380,171
"10980","AFUN019173",2363,1742,2363,1742
"10981","AFUN019174",1324,501,1324,501
"10982","AFUN019175",48,134,48,134
"10983","AFUN019176",1687,662,1687,662
"10984","AFUN019177",326,741,326,741
"10985","AFUN019178",8,101,8,101
"10986","AFUN019179",0,1,0,1
"10987","AFUN019180",47,82,47,82
"10988","AFUN019181",3438,658,3438,658
"10989","AFUN019182",3,19,3,19
"10990","AFUN019183",215,181,215,181
"10991","AFUN019184",120,44,120,44
"10992","AFUN019185",0,0,0,0
"10993","AFUN019186",147,11,147,11
"10994","AFUN019187",77,24,77,24
"10995","AFUN019188",0,0,0,0
"10996","AFUN019189",133,48,133,48
"10997","AFUN019190",444,238,444,238
"10998","AFUN019191",5,12,5,12
"10999","AFUN019192",0,4,0,4
"11000","AFUN019193",0,0,0,0
"11001","AFUN019194",26,1,26,1
"11002","AFUN019195",0,3,0,3
"11003","AFUN019196",4,28,4,28
"11004","AFUN019197",135,53,135,53
"11005","AFUN019198",13,38,13,38
"11006","AFUN019199",0,5,0,5
"11007","AFUN019200",71,31,71,31
"11008","AFUN019201",364,131,364,131
"11009","AFUN019202",1,14,1,14
"11010","AFUN019203",47,32,47,32
"11011","AFUN019204",134,26,134,26
"11012","AFUN019205",343,146,343,146
"11013","AFUN019206",153,31,153,31
"11014","AFUN019207",2,1,2,1
"11015","AFUN019208",38,11,38,11
"11016","AFUN019209",275,299,275,299
"11017","AFUN019210",86,46,86,46
"11018","AFUN019211",365,1260,365,1260
"11019","AFUN019212",1,0,1,0
"11020","AFUN019213",268,95,268,95
"11021","AFUN019214",41,42,41,42
"11022","AFUN019215",30,11,30,11
"11023","AFUN019216",8,0,8,0
"11024","AFUN019217",23,3,23,3
"11025","AFUN019218",1,0,1,0
"11026","AFUN019219",323,221,323,221
"11027","AFUN019220",595,107,595,107
"11028","AFUN019221",0,0,0,0
"11029","AFUN019222",210,12,210,12
"11030","AFUN019223",14,7,14,7
"11031","AFUN019224",747,387,747,387
"11032","AFUN019225",0,0,0,0
"11033","AFUN019226",0,0,0,0
"11034","AFUN019227",3,73,3,73
"11035","AFUN019228",128,8,128,8
"11036","AFUN019229",0,0,0,0
"11037","AFUN019230",4,17,4,17
"11038","AFUN019231",34,12,34,12
"11039","AFUN019232",1,6,1,6
"11040","AFUN019233",38,44,38,44
"11041","AFUN019234",7472,1424,7472,1424
"11042","AFUN019235",444,498,444,498
"11043","AFUN019236",0,0,0,0
"11044","AFUN019237",451,49,451,49
"11045","AFUN019238",363,102,363,102
"11046","AFUN019239",0,0,0,0
"11047","AFUN019240",202,58,202,58
"11048","AFUN019241",1,0,1,0
"11049","AFUN019242",141,204,141,204
"11050","AFUN019243",68,35,68,35
"11051","AFUN019244",220,98,220,98
"11052","AFUN019245",110,32,110,32
"11053","AFUN019246",127,48,127,48
"11054","AFUN019247",160,45,160,45
"11055","AFUN019248",112,20,112,20
"11056","AFUN019249",44,56,44,56
"11057","AFUN019250",313,220,313,220
"11058","AFUN019251",143,47,143,47
"11059","AFUN019252",7,1,7,1
"11060","AFUN019253",0,0,0,0
"11061","AFUN019254",195,112,195,112
"11062","AFUN019255",159,77,159,77
"11063","AFUN019256",262,21,262,21
"11064","AFUN019257",0,10,0,10
"11065","AFUN019258",21,16,21,16
"11066","AFUN019259",1972,3267,1972,3267
"11067","AFUN019260",0,0,0,0
"11068","AFUN019261",0,0,0,0
"11069","AFUN019262",27,9,27,9
"11070","AFUN019263",0,0,0,0
"11071","AFUN019264",0,0,0,0
"11072","AFUN019265",5,1866,5,1866
"11073","AFUN019266",28,2,28,2
"11074","AFUN019267",0,0,0,0
"11075","AFUN019268",2,0,2,0
"11076","AFUN019269",100,41,100,41
"11077","AFUN019270",0,1,0,1
"11078","AFUN019271",7,0,7,0
"11079","AFUN019272",6,14,6,14
"11080","AFUN019273",22,7,22,7
"11081","AFUN019274",0,0,0,0
"11082","AFUN019275",121,18,121,18
"11083","AFUN019276",0,4,0,4
"11084","AFUN019277",928,536,928,536
"11085","AFUN019278",2,2,2,2
"11086","AFUN019279",89,10,89,10
"11087","AFUN019280",353,68,353,68
"11088","AFUN019281",184,69,184,69
"11089","AFUN019282",148,24,148,24
"11090","AFUN019283",503,179,503,179
"11091","AFUN019284",1530,237,1530,237
"11092","AFUN019285",20,100,20,100
"11093","AFUN019286",186,47,186,47
"11094","AFUN019287",193,40,193,40
"11095","AFUN019288",7,3,7,3
"11096","AFUN019289",25,469,25,469
"11097","AFUN019290",256,67,256,67
"11098","AFUN019291",0,0,0,0
"11099","AFUN019292",508,216,508,216
"11100","AFUN019293",0,0,0,0
"11101","AFUN019294",130,191,130,191
"11102","AFUN019295",201,51,201,51
"11103","AFUN019296",55,58,55,58
"11104","AFUN019297",187,54,187,54
"11105","AFUN019298",67,38,67,38
"11106","AFUN019299",1,7,1,7
"11107","AFUN019300",19,10,19,10
"11108","AFUN019301",125,122,125,122
"11109","AFUN019302",46,17,46,17
"11110","AFUN019303",17,0,17,0
"11111","AFUN019304",51,66,51,66
"11112","AFUN019305",49,16,49,16
"11113","AFUN019306",2,0,2,0
"11114","AFUN019307",29,17,29,17
"11115","AFUN019308",0,0,0,0
"11116","AFUN019309",0,12,0,12
"11117","AFUN019310",0,31,0,31
"11118","AFUN019311",11,7,11,7
"11119","AFUN019312",9,14,9,14
"11120","AFUN019313",2148,1880,2148,1880
"11121","AFUN019314",4,0,4,0
"11122","AFUN019315",3,0,3,0
"11123","AFUN019316",0,4,0,4
"11124","AFUN019317",120,67,120,67
"11125","AFUN019318",78,70,78,70
"11126","AFUN019319",1043,708,1043,708
"11127","AFUN019320",0,29,0,29
"11128","AFUN019321",255,212,255,212
"11129","AFUN019322",4,8,4,8
"11130","AFUN019323",81,32,81,32
"11131","AFUN019324",195,298,195,298
"11132","AFUN019325",944,277,944,277
"11133","AFUN019326",94,54,94,54
"11134","AFUN019327",205,120,205,120
"11135","AFUN019328",0,0,0,0
"11136","AFUN019329",0,3,0,3
