"","kombewa_05_susceptible","komb_06_susceptible","komb_04_susceptible","PortVict_susceptible","teso_susceptible","kombe_01_resistant","komb_02_resistant","Siaya_resistant","PortVict_resistant","Teso_resistant"
"AFUN002393",1686.1645136511,1260.57416008568,1273.18604241896,1155.36217466322,706.252712788957,1749.65211085079,1156.78573991882,1487.1608971753,1486.73210769388,1845.49653764932
"AFUN002394",92.3826114036628,88.5976906595358,98.9599360116825,158.174583436036,114.797260736014,121.224793205461,95.0282124419881,94.925163649487,69.8991852006102,63.1710306285831
"AFUN002395",141.847316722159,96.3694179103722,128.500215418155,126.081189695391,177.187076353413,217.74134830535,179.09163114067,240.596483966939,125.661456540423,226.174850732695
"AFUN002397",165.124825107334,250.249617476934,205.304941874983,93.9877959547463,121.036242297754,132.806779817447,140.714853039098,134.328061768142,245.825224357202,294.422124893932
"AFUN002399",111.295586966617,172.53234496857,168.379592616893,404.605999658847,370.59550476735,109.642806593474,131.577524919676,164.775755768921,198.702178154544,182.744767175544
"AFUN002400",548.476291325683,418.118926095002,382.546618313817,978.848509089675,677.553397604954,400.736736774739,250.362790472161,472.237763816001,257.605985907867,98.1407082979774
"AFUN002401",39.2807953999826,71.4998907076955,69.4196566052101,91.6954106875574,68.628797179139,51.7328735335405,84.0634186986818,126.566884865983,11.7807615506646,14.6647035387782
"AFUN002403",80.7438572110753,41.9673271545169,63.5116007239156,92.8416033211518,96.0803160507946,79.5296414023085,56.651434340416,114.626612708814,80.1091785445196,79.5278153449127
"AFUN002406",132.390828940682,141.445435965224,143.270355121391,190.267977176682,165.956909542282,153.654355719023,118.785265552485,128.954939297416,190.848337120767,133.674413026555
"AFUN002407",34.9162625777623,27.9782181030113,38.4023632284141,87.1106401531795,229.594521472029,45.5558140071476,45.6866405971097,40.5969253343718,10.995377447287,2.25610823673511
"AFUN002408",207.315309055464,158.543235917064,127.023201447831,126.081189695391,170.948094791673,186.083918232586,138.887387415213,188.059286475399,211.268323808586,220.534580140857
"AFUN002410",1454.84427407343,1137.78086952246,1030.95575128589,655.622186416035,842.262510834887,1467.05163751831,995.968765016991,1123.57960998953,1493.80056462428,1655.41941870439
"AFUN002411",155.668337325857,144.554126865558,150.655424973009,88.256832786774,351.878560082131,170.641269416604,190.056424883976,108.059463022372,187.706800707257,157.363549512274
