"","Siaya_resistant","Siaya_susceptible","komb_02_resistant","komb_06_susceptible"
"AFUN021860",0,2.91022414758282,11.0069147381643,25.0197821101043
"AFUN021861",23.9797601098695,18.6254345445301,45.8621447423511,54.7307733658532
"AFUN021862",13.788362063175,6.40249312468222,5.50345736908213,6.25494552752608
"AFUN021863",17.9848200824021,15.7152103969473,20.1793436866345,17.2011002006967
"AFUN021865",181.047188829515,168.793000559804,289.848754771659,214.231884317768
"AFUN021866",356.099437631562,388.223901287549,497.145649007086,491.013223910797
"AFUN021867",2.39797601098695,8.73067244274847,12.8414005278583,0
"AFUN021869",18.5843140851489,48.3097208498749,55.0345736908213,75.059346330313
"AFUN021871",32.3726761483238,13.9690759083976,18.3448578969404,9.38241829128912
"AFUN021872",62.3473762856607,87.8887692570013,126.579519488889,104.770337586062
"AFUN021873",465.207346131468,499.976508554729,634.732083234139,663.024225917765
"AFUN021874",128.891210590549,122.811459027995,163.26923528277,187.648365825782
"AFUN021875",11.9898800549347,28.5201966463117,18.3448578969404,18.7648365825782
"AFUN021876",107.309426491666,136.198490106876,73.3794315877617,62.5494552752608
"AFUN021877",86.3271363955302,97.2014865292664,139.420920016747,120.407701404877
"AFUN021878",10.7908920494413,13.387031078881,9.17242894847022,21.8923093463413
"AFUN021879",256.583433175604,214.774542091612,291.683240561353,306.492330848778
"AFUN021880",13.1888680604282,19.2074793740466,5.50345736908213,23.4560457282228
"AFUN021881",53.9544602472064,49.473810508908,55.0345736908213,40.6571459289195
"AFUN021882",11.390386052188,14.5511207379141,11.0069147381643,1.56373638188152
"AFUN021883",24.5792541126162,8.73067244274847,7.33794315877617,12.5098910550522
"AFUN021884",27.5767241263499,93.1271727226504,34.8552300041868,7.8186819094076
"AFUN021885",580.310194658842,605.908667526744,728.290858508535,184.520893062019
"AFUN021886",115.102848527374,94.2912623816835,62.3725168495975,46.9120914564456
"AFUN021887",261.978879200324,332.929642483475,251.324553188084,275.217603211148
"AFUN021888",911.830378177788,181.015941979652,656.745912710467,373.732995269683
"AFUN021889",2127.00472174542,508.125136167961,1520.78871965636,1288.51877867037
"AFUN021890",127.692222585055,85.5605899389351,49.5311163217392,53.1670369839717
"AFUN021892",62.3473762856607,87.8887692570013,36.6897157938809,17.2011002006967
"AFUN021893",126.493234579562,137.944624595426,102.731204222866,81.3142918578391
"AFUN021894",135.485644620763,54.7122139745571,47.6966305320451,28.1472548738674
"AFUN021895",257.18292717835,268.904711236653,117.407090540419,115.716492259233
"AFUN021896",194.236056889943,220.012945557262,117.407090540419,140.736274369337
"AFUN021897",105.510944483426,62.2787967582725,64.2070026392915,43.7846186926826
"AFUN021898",237.399625087708,244.458828396957,177.945121600322,140.736274369337
"AFUN021899",184.044658843248,155.988014310439,97.2277468537843,132.917592459929
"AFUN021900",354.900449626069,321.87079072266,275.172868454106,268.962657683622
"AFUN021901",263.177867205818,278.217428508918,254.993524767472,245.506611955399
"AFUN021902",4.7959520219739,65.1890209058553,9.17242894847022,7.8186819094076
"AFUN021903",34.7706521593108,57.0403932926234,25.6828010557166,34.4022004013935
"AFUN021904",29.3752061345901,22.1177035216295,18.3448578969404,4.69120914564456
"AFUN021905",17.9848200824021,75.6658278371535,3.66897157938809,10.9461546731706
"AFUN021906",8.99241004120106,32.5945104529276,12.8414005278583,31.2747276376304
"AFUN021907",1.79848200824021,10.4768069312982,9.17242894847022,4.69120914564456
"AFUN021908",7.79342203570759,6.40249312468222,11.0069147381643,4.69120914564456
"AFUN021909",7.19392803296085,5.23840346564909,3.66897157938809,10.9461546731706
"AFUN021910",6.59443403021411,26.1920173282454,12.8414005278583,10.9461546731706
"AFUN021911",417.847319914476,449.338608386788,546.676765328825,591.092352351215
"AFUN021912",489.786600244084,668.769509114533,810.842719044767,867.873691944244
"AFUN021913",2423.75425310506,2774.02565747595,2647.1629945285,3751.40358013377
"AFUN021914",119.898800549347,140.272803913492,141.255405806441,143.8637471331
"AFUN021915",8.39291603845432,20.3715690330798,11.0069147381643,25.0197821101043
"AFUN021917",61.1483882801672,82.6503657913522,110.069147381643,68.8044008027869
"AFUN021918",108.508414497159,148.421431526724,168.772692651852,157.937374570034
"AFUN021919",1548.49300909482,1574.43126384231,1849.1616760116,1921.83201333239
"AFUN021920",407.056427865035,391.134125435132,706.277029032207,625.494552752608
"AFUN021921",238.598613093201,213.610452432579,110.069147381643,125.098910550522
"AFUN021922",303.343965389849,181.015941979652,165.103721072464,168.883529243204
"AFUN021923",348.905509598601,252.607456010189,376.069586887279,334.639585722645
"AFUN021924",1218.77130758412,268.322666407136,1181.40884856296,775.613245413234
"AFUN021925",252.386975156376,228.74361800001,330.207442144928,370.60552250592
"AFUN021926",353.101967617828,418.49023242241,434.773132157488,556.690151949821
"AFUN021927",88.7251124065171,59.3685726106896,34.8552300041868,25.0197821101043
"AFUN021928",450.819490065547,252.607456010189,308.193612668599,229.869248136584
"AFUN021929",182.845670837755,240.384514590341,278.841840033495,317.438485521949
"AFUN021930",9.5919040439478,25.6099724987289,18.3448578969404,10.9461546731706
"AFUN021931",64.7453522966476,23.8638380101792,33.0207442144928,28.1472548738674
"AFUN021933",84.52865438729,116.99101073283,69.7104600083736,104.770337586062
"AFUN021934",134.886150618016,234.564066295176,165.103721072464,248.634084719162
"AFUN021935",362.693871661776,476.11267054455,266.000439505636,389.370359088499
"AFUN021936",896.243534106372,1128.58492443262,1086.01558749887,1452.71109876793
"AFUN021937",0,22.1177035216295,0,1.56373638188152
"AFUN021938",5.99494002746737,37.2508690890602,12.8414005278583,7.8186819094076
"AFUN021939",91.1230884175041,57.0403932926234,82.5518605362319,79.7505554759576
"AFUN021940",47.959520219739,59.9506174402062,66.0414884289855,57.8582461296163
"AFUN021941",307.540423409076,228.161573170493,339.379871093398,311.183539994423
"AFUN021942",106.709932488919,155.988014310439,82.5518605362319,90.6967101491282
"AFUN021943",6.59443403021411,10.4768069312982,0,1.56373638188152
"AFUN021945",281.16268728822,164.136641923671,310.028098458293,225.178038990939
"AFUN021946",1.79848200824021,20.9536138625963,20.1793436866345,10.9461546731706
"AFUN021947",4.19645801922716,30.8483759643779,5.50345736908213,6.25494552752608
"AFUN021948",15.5868440714152,47.7276760203583,34.8552300041868,17.2011002006967
"AFUN021949",28.7757121318434,52.3840346564908,38.5242015835749,45.3483550745641
"AFUN021950",95.3195464367312,93.709217552167,130.248491068277,117.280228641114
"AFUN021951",453.217466076533,226.415438681944,302.690155299517,206.413202408361
"AFUN021952",263.777361208564,488.917656793915,262.331467926248,207.976938790242
"AFUN021953",118.699812543854,146.675297038174,77.0484031671498,54.7307733658532
"AFUN021954",286.55813331294,240.966559419858,194.455493707569,148.554956278744
"AFUN021955",1851.23748048193,1246.15797999497,1216.26407856715,966.38908400278
"AFUN021956",23.9797601098695,36.086779430027,42.193173162963,48.4758278383271
"AFUN021957",31.1736881428303,40.7431380661596,47.6966305320451,48.4758278383271
"AFUN021958",89.3246064092639,125.139638346061,99.0622326434783,106.334073967943
"AFUN021959",42.5640741950184,48.3097208498749,45.8621447423511,46.9120914564456
"AFUN021963",180.447694826768,384.149587480933,51.3656021114332,10.9461546731706
"AFUN021965",1318.28731204008,1924.24020638176,1797.79607390016,2358.11446387733
"AFUN021966",2496.89252144016,2547.61021879401,3109.4534135314,5576.2839377895
"AFUN021967",14.9873500686684,26.774062157762,9.17242894847022,21.8923093463413
"AFUN021968",14.3878560659217,103.603979653949,14.6758863175523,45.3483550745641
"AFUN021969",50.9569902334727,49.473810508908,66.0414884289855,37.5296731651565
"AFUN021970",1068.89780689743,1147.79240380667,1216.26407856715,1355.75944309128
"AFUN021971",1649.20800155627,1868.36390274817,2436.19712871369,3349.52332999022
"AFUN021972",37.7681221730445,135.61644527736,110.069147381643,137.608801605574
"AFUN021973",363.89285966727,348.062808050906,293.517726351047,270.526394065503
"AFUN021974",830.898687806978,544.211915597988,631.063111654751,500.395642202087
"AFUN021975",32.9721701510706,18.6254345445301,1.83448578969404,26.5835184919858
"AFUN021977",59.349906271927,31.4304207938945,7.33794315877617,12.5098910550522
"AFUN021978",27.5767241263499,23.2817931806626,5.50345736908213,25.0197821101043
"AFUN021979",14.9873500686684,18.6254345445301,7.33794315877617,7.8186819094076
"AFUN021980",259.580903189337,157.734148798989,183.448578969404,262.707712156095
"AFUN021981",2.99747001373369,10.4768069312982,9.17242894847022,3.12747276376304
"AFUN021982",7.79342203570759,23.2817931806626,12.8414005278583,20.3285729644598
"AFUN021983",3343.9775473213,5113.84587213254,5455.76073855008,5620.06855648219
"AFUN021984",79.7327023653161,62.2787967582725,100.896718433172,64.1131916571423
"AFUN021985",109.107908499906,96.6194416997498,122.910547909501,123.53517416864
"AFUN021986",395.666041812847,389.970035776099,572.359566384541,558.253888331703
"AFUN021987",372.885269708471,612.893205480943,702.608057452818,816.270391342154
"AFUN021988",212.220876972345,162.390507435122,350.386785831562,258.016503010451
"AFUN021989",276.366735266246,379.4932288448,291.683240561353,434.718714163063
"AFUN021990",236.200637082215,172.285269536903,152.262320544606,164.19232009756
"AFUN021991",240.397095101442,192.656838569983,172.44166423124,145.427483514981
