"","komb_02_resistant","kombe_01_resistant","komb_04_susceptible","komb_06_susceptible","kombewa_05_susceptible","Kombewa_07_unexp","Siaya_unexposed"
"AFUN000932",111.898179071697,125.396844418814,79.6215788258586,127.053703312833,153.706909438132,139.328853425511,162.729740642005
"AFUN000936",59.6790288382385,74.09813533839,62.7321530143129,78.7732960539566,109.790649598666,79.0785384306954,135.303379859645
"AFUN000940",8.95185432573577,21.5327914658569,3.61916267390267,16.5169814306683,20.1777410073223,10.6693266136653,69.4801139819797
"AFUN000942",644.533511452975,450.288668594831,517.540262368081,541.248776112669,373.288208635463,349.577348459503,245.008822989086
"AFUN000947",468.480376380172,334.391585116837,318.486315303435,298.576202785158,275.366818452869,334.514769710799,327.287905336168
"AFUN000948",83.5506403735338,113.363813893776,62.7321530143129,57.1741664907749,82.4913529417001,101.044799105889,160.901316589848
"AFUN000949",98.4703975830935,91.8310224279192,86.859904173664,94.0197404514966,73.5894083796461,69.0368192648928,89.5927785557107
"AFUN000950",2196.18826124718,3148.22077578749,2442.9348048843,2351.76404832054,3439.71137877765,3268.57958846874,2025.89384979036
"AFUN000951",105.930276187873,79.1646745068269,82.0343539417938,69.8795368220583,37.3881671606267,57.1122777555022,100.563322868655
"AFUN000953",125.325960560301,180.495457875565,80.8279663838262,88.9375923189832,101.482168007415,153.763824726352,84.1075063992386
"AFUN000957",555.014968195618,395.823372534134,593.542678520037,550.142535344568,426.106413036983,426.145457098747,307.175240762437
"AFUN000958",40.283344465811,58.2652004370246,67.5577032461831,36.8455739607216,66.4678527300029,52.7190256204636,115.190715285914
"AFUN000959",14.9197572095596,10.7663957329285,12.0638755796756,8.89375923189832,7.12155564964317,6.90368192648928,10.9705443129442
"AFUN000960",417.753201867669,333.758267720782,540.461625969465,508.214813251333,401.774431234036,316.941761170644,601.551513159772
"AFUN000961",185.004989398539,218.494501638842,127.877081144561,182.95733277048,195.249317394384,184.516589671623,175.528709007107
"AFUN000962",50.7271745125027,23.4327436540208,32.572464065124,31.7634258282083,19.5842780365187,17.5730085401545,60.3379937211929
"AFUN000963",182.021037956627,122.863574834595,184.577296369036,160.08766617417,135.30955734322,226.566288678421,74.9653861384518
"AFUN000964",62.6629802801504,65.2316917936253,45.8427272027671,44.4687961594916,57.565908167949,64.6435671298542,82.2790823470812
"AFUN000965",489.368036473555,338.191489493164,538.04885085353,617.480998100369,382.783616168321,237.235615292086,654.575810672335
"AFUN000968",450.5766677287,164.6625229742,428.267583078482,416.736146866093,145.991890817685,170.081618370781,109.705443129442
"AFUN000969",56.6950773963265,25.3326958421846,48.2555023187022,35.5750369275933,21.9581299197331,23.8490830187812,20.112664573731
