"","PortVict_resistant","PortVict_susceptible","PortVict_susceptible.1","PortVict_resistant.1"
"AFUN011254",101.245576035038,222.903566593269,222.903566593269,101.245576035038
"AFUN011255",783.020221109689,589.102283139354,589.102283139354,783.020221109689
"AFUN011256",362.52448193191,264.544892220583,264.544892220583,362.52448193191
"AFUN011261",42.4578222082418,2.44948974278318,2.44948974278318,42.4578222082418
"AFUN011263",32.659863237109,3.67423461417477,3.67423461417477,32.659863237109
"AFUN011265",57.1547606649408,690.756107464856,690.756107464856,57.1547606649408
"AFUN011266",33.4763598180368,95.530099968544,95.530099968544,33.4763598180368
"AFUN011269",28.5773803324704,47.765049984272,47.765049984272,28.5773803324704
"AFUN011270",113.493024748954,88.1816307401944,88.1816307401944,113.493024748954
"AFUN011271",332.314108437584,240.049994792751,240.049994792751,332.314108437584
"AFUN011272",71.8516991216399,139.620915338641,139.620915338641,71.8516991216399
"AFUN011273",57.9712572458685,35.5176012703561,35.5176012703561,57.9712572458685
"AFUN011277",705.453045921555,236.375760178577,236.375760178577,705.453045921555
"AFUN011278",401.716317816441,206.981883265179,206.981883265179,401.716317816441
"AFUN011279",244.13247769739,133.497190981683,133.497190981683,244.13247769739
"AFUN011280",439.275160539117,652.789016451717,652.789016451717,439.275160539117
"AFUN011281",6158.01721335691,6947.97765540449,6947.97765540449,6158.01721335691
"AFUN011282",116.759011072665,456.829837029063,456.829837029063,116.759011072665
"AFUN011286",17.1464281994822,9.79795897113271,9.79795897113271,17.1464281994822
"AFUN011289",47.3568016938081,40.4165807559224,40.4165807559224,47.3568016938081
"AFUN011290",187.794213613377,203.307648651004,203.307648651004,187.794213613377
"AFUN011291",180.445744385027,210.656117879353,210.656117879353,180.445744385027
"AFUN011292",2282.10794369299,5223.53687648513,5223.53687648513,2282.10794369299
"AFUN011295",524.1908049556,966.323703527964,966.323703527964,524.1908049556
"AFUN011296",342.928563989645,181.262240965955,181.262240965955,342.928563989645
"AFUN011298",35.9258495608199,20.820662813657,20.820662813657,35.9258495608199
"AFUN011299",45.7238085319527,73.4846922834953,73.4846922834953,45.7238085319527
"AFUN011300",184.528227289666,291.489279391198,291.489279391198,184.528227289666
