"","PortVict_resistant","PortVict_susceptible","Siaya_susceptible","Siaya_resistant"
"AFUN007773",102.164788647,240.657944093361,161.77042175111,133.267343900301
"AFUN007774",1193.28473139696,956.577488471725,1042.26371728215,1510.10037614838
"AFUN007775",811.188421857182,1336.48405430464,1142.40731169951,846.129349142146
"AFUN007778",333.057210989221,466.180168432423,313.526484060485,317.791358531486
"AFUN007779",2.04329577294,12.1085758034396,18.4880482001269,5.51994915563376
"AFUN007780",574.166112196141,398.069429538075,348.961909777395,508.623886483396
"AFUN007782",327.948971556871,154.384341493854,279.631729026919,203.449554593359
"AFUN007783",125.66269003581,18.1628637051593,114.779965909121,83.5878014995969
"AFUN007784",1810.36005482484,2786.48600676653,3583.60000945793,2227.69376638077
"AFUN007785",240.087253320451,550.9401990565,234.952279209946,539.377888921927
"AFUN007786",1884.94035053715,1704.28204433412,2191.60404705671,1804.23480972715
"AFUN007787",300.364478622181,461.639452506133,238.033620576634,213.700888739535
"AFUN007790",459.741548911501,382.933709783776,539.234739170368,437.653111625248
"AFUN007791",108.29467596582,63.5700229680577,13.8660361500952,66.2393898676051
"AFUN007792",7321.12875444404,8256.53512597035,7424.4920230343,8218.41572857357
"AFUN007793",439.308591182101,519.155187572471,426.765779286263,399.013467535812
"AFUN007794",252.347027958091,202.818644707613,172.555116534518,178.215501310461
"AFUN007795",337.143802535101,166.492917297294,204.138865543068,272.843201121326
"AFUN007796",475.066267208551,78.7057427223571,263.454686851808,309.11715271549
"AFUN007797",41.8875633452701,13.6221477788695,30.0430783252062,41.7939007497985
"AFUN007798",208.416168839881,127.140045936115,203.368530201396,206.603811253721
"AFUN007799",46.9958027776201,43.8935872874684,69.3301807504759,69.3936465279672
"AFUN007800",92.9699576687702,84.7600306240769,61.6268273337564,91.4734431505023
"AFUN007801",369.836534902141,334.499406570018,333.555202943956,301.231511064585
"AFUN007803",135.87916890051,193.737212855033,147.134050259343,180.581193805733
"AFUN007804",10.2164788647,22.7035796314492,30.0430783252062,25.2340532828972
"AFUN007805",1780.73226611721,1257.77831158228,1113.90490405765,1491.17483618621
"AFUN007807",49.0390985505601,81.732886673217,44.6794498169734,37.8510799243458
"AFUN007811",1913.54649135831,2171.97578474197,1479.04385601015,1793.98347558097
"AFUN007812",1001.2149287406,508.560183744461,1027.62734579039,863.477760774138
"AFUN007813",2056.57719546411,1166.96399305649,1852.65649672105,2572.29630652533
"AFUN007814",275.844929346901,329.958690643728,270.387704926856,269.688944460964
"AFUN007815",1662.22111128669,2010.02358337097,1762.52726174543,2019.51282679687
"AFUN007816",540.451731942631,416.232293243235,327.392520210581,660.028206180779
"AFUN007817",131.79257735463,34.8121554348887,53.9234739170368,86.7420581599591
"AFUN007820",437.265295409161,493.424463990162,264.22502219348,736.518930194561
"AFUN007821",391.291140518011,398.069429538075,365.909287294178,527.549426445569
"AFUN007822",1300.55775947631,1337.99762628007,1207.11548039995,1256.18271498923
"AFUN007823",15.32471829705,9.08143185257967,12.3253654667513,8.67420581599591
"AFUN007824",4519.77024974329,7878.14213211286,4502.61007207257,5891.3628773914
"AFUN007825",774.409097944262,923.278905012266,517.665349603553,578.017533011364
"AFUN007826",46.9958027776201,154.384341493854,64.7081687004442,80.4335448392348
"AFUN007827",453.611661592681,320.877258791148,466.052881711532,526.760862280479
"AFUN007828",365.749943356261,407.150861390655,334.325538285628,326.465564347482
"AFUN007829",674.287605070202,1089.77182230956,424.454773261247,563.823378039734
"AFUN007833",659.984534659622,308.768682987709,374.38297605257,482.601269035409
"AFUN007834",1216.78263278577,1964.61642410807,1333.45047643415,1336.61625982846
"AFUN007837",395.377732063891,372.338705955766,285.024076418623,518.875220629573
"AFUN007839",867.379055613032,584.238782515959,696.383148871447,833.512322500697
"AFUN007840",138.94411255992,546.39948313021,187.961823367957,289.403048588227
"AFUN007841",348.381929286271,346.607982373457,222.626913743195,366.6823367671
"AFUN007842",439.308591182101,6473.54733891387,1321.89544630907,2682.69528963801
"AFUN007843",777.474041603672,448.017304727264,513.813672895194,1039.32756958933
"AFUN007844",1479.34613960856,2276.41225104664,1450.54144836829,2503.69122416245
"AFUN007846",1380.24629462097,1207.8304363931,1771.7712858455,1849.9715313024
"AFUN007847",113.40291539817,222.495080388202,227.248925793227,141.941549716297
"AFUN007848",477.109562981491,1251.72402368056,1321.89544630907,1484.86632286548
"AFUN007849",1476.28119594915,1051.93252292381,1597.67549862763,1557.41422605381
"AFUN007850",67.4287605070202,647.808805484016,347.421239094051,518.086656464483
"AFUN007854",51.0823943235001,337.526550520878,271.9283756102,89.1077506552307
"AFUN007855",561.906337558501,2264.3036752432,1136.24462896613,985.705206363171
"AFUN007856",8.17318309176002,30.2714395085989,66.2488393837881,1.57712833018107
"AFUN007857",2.04329577294,9.08143185257967,33.124419691894,0
